Welcome to the DougScore!,,,WEEKEND,,,,,TOTAL,DAILY,,,,,TOTAL,DOUGSCORE,Video Link,Filming Location,,Vehicle Country
,,,Styling,Acceleration,Handling,Fun Factor,Cool Factor,,Features,Comfort,Quality,Practicality,Value,,,,,,
,,,,,,,,,,,,,,,,,,,
2019,Lamborghini,Aventador SVJ,8,10,9,10,9,46,6,3,7,2,6,24,70,24:03:00,Newport Coast,California,Italy
2018,Lamborghini,Huracan Performante,8,10,10,9,8,45,6,3,8,2,6,25,70,26:23:00,Costa Mesa,California,Italy
2022,Maserati,MC20,9,10,8,8,8,43,6,4,7,2,7,26,69,29:40:00,San Diego,California,Italy
2018,BMW,M5,7,10,6,7,6,36,8,7,7,5,6,33,69,25:24:00,Santa Ana,California,Germany
2020,Audi,RSQ8,7,8,5,6,6,32,8,7,8,8,6,37,69,22:15,Los Angeles,California,Germany
2021,Porsche,911 Turbo S (992),7,10,8,8,7,40,7,5,8,3,6,29,69,25:27:00,San Diego,California,Germany
2005,Pagani,Zonda S Roadster,9,9,10,10,10,48,4,3,7,1,6,21,69,33:26:00,Newport Beach,California,Italy
2017,Pagani,Huayra Roadster,9,9,10,9,10,47,5,3,7,1,6,22,69,35:53:00,Upland,California,Italy
2012,Pagani,Huayra,9,9,10,9,10,47,5,3,7,1,6,22,69,39:08:00,Newport Beach,California,Italy
2008,Koenigsegg,CCX,8,9,10,10,10,47,4,3,7,1,7,22,69,32:22:00,Upland,California,Sweden
2019,Porsche,Cayenne Turbo,7,8,6,6,5,32,8,7,8,8,6,37,69,23:41,Long Beach,California,Germany
2019,Aston Martin,DBS Superleggera,8,9,7,8,8,40,6,5,8,4,6,29,69,23:46,Newport Beach,California,UK
2019,Bentley,Continental GT,7,8,6,6,7,34,8,8,9,4,6,35,69,23:51,La Jolla,California,UK
2018,Ferrari,Portofino,8,9,8,8,7,40,6,6,8,3,6,29,69,24:21:00,Newport Beach,California,Italy
2017,McLaren,720S,8,10,9,9,8,44,6,4,7,2,6,25,69,25:45:00,West Chester,Pennsylvania,UK
2018,BMW,M760i,6,8,6,5,6,31,9,9,8,6,6,38,69,27:47:00,Devon,Pennsylvania,Germany
2017,Audi,R8 V10 Plus,7,10,8,9,7,41,7,5,8,2,6,28,69,14:29,Bridgewater,New Jersey,Germany
2022,Acura,NSX Type S,8,10,8,8,7,41,6,5,8,2,6,27,68,29:33:00,San Diego,California,Japan
2021,Ford,Mustang Mach-E GT,6,8,6,6,5,31,8,6,7,9,7,37,68,21:20,San Diego,California,USA
2022,Cadillac,CT5-V Blackwing,6,8,6,8,7,35,8,7,6,5,7,33,68,28:30:00,San Diego,California,USA
2022,Porsche,911 GT3 Touring,7,9,9,9,8,42,6,4,8,2,6,26,68,12:53,San Diego,California,Germany
2021,BMW,Alpina XB7,6,8,5,5,5,29,9,8,8,9,5,39,68,24:47:00,Santa Ana,California,Germany
2022,Porsche,911 GT3,7,9,9,9,8,42,6,4,8,2,6,26,68,29:04:00,Los Angeles,California,Germany
2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,29:32:00,Santa Ana,California,Germany
2021,Dodge,Ram TRX,7,8,4,8,6,33,7,6,6,8,8,35,68,26:44:00,San Diego,California,USA
2014,Bugatti,Veyron Vitesse,8,10,8,10,10,46,4,4,7,1,6,22,68,35:30:00,Palm Beach,Florida,France
2014,Audi,RS7,7,8,6,7,6,34,7,7,8,6,6,34,68,22:15,King of Prussia,Pennsylvania,Germany
2020,BMW,X5M Competition,7,8,6,7,5,33,8,6,7,8,6,35,68,27:22:00,Newport Beach,California,Germany
2021,Bentley,Bentayga V8,5,7,5,6,6,29,8,9,8,8,6,39,68,25:42:00,San Diego,California,UK
2016,McLaren,675LT,7,10,10,9,8,44,6,3,6,2,7,24,68,25:23:00,Newport Beach,California,UK
2020,Tesla,Model Y Performance,5,9,5,6,6,31,9,6,6,9,7,37,68,32:36:00,San Diego,California,USA
2020,Rolls-Royce,Cullinan Black Badge,6,6,4,5,7,28,10,10,9,6,5,40,68,29:28:00,San Diego,California,UK
2019,Audi,RS5 Sportback,7,8,6,7,5,33,8,7,7,7,6,35,68,23:17,Costa Mesa,California,Germany
2019,Rolls-Royce,Cullinan,6,6,4,5,7,28,9,10,9,7,5,40,68,11:34,La Jolla,California,UK
2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
2018,Porsche,Panamera Turbo Sport Turismo,6,8,6,6,6,32,7,7,9,8,5,36,68,24:28:00,Warrington,Pennsylvania,Germany
